Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
222343,387.0,25.9,8.0,43,600,158,29.5,3.1,12,3,558,7,156,1,0,2,0,22,31
173447,268.0,15.6,2.0,0,922,203,25.4,7.4,7.2,2,2105,32,61,2,0,1,0,14,18
16545,280.0,11.4,3.0,13,682,174,34.2,2.8,10.1,4,581,23,108,2,0,4,0,28,82
14366,260.0,12,2.0,0.5,779,192,33.3,3.3,6.3,4,481,14,48,2,0,3,0,24,82
223168,47.0,3.6,0.0,0,5,217,3.7,1.1,0.8,2,756,12,11,0,0,1,0,10,14
229606,297.0,22.2,10.0,45,93,576,13.3,5.7,12.4,6,1332,19,346,1,0,2,0,30,69
11734,415.0,29.6,7.0,29,821,298,25,2.1,12.6,1,475,33,143,2,0,6,0,33,93
271130,240.0,5,2.0,4,304,162,40.3,2.1,9.1,4,228,8,72,2,0,3,0,33,114
14314,441.0,19.6,4.0,4,1226,147,56.2,5.4,11.7,7,187,1,71,4,0,4,0,30,4
281193,527.0,18.5,8.0,42,886,1299,87.9,4.7,13.9,72,6626,92,324,3,1,5,1,124,51
228222,340.0,21.9,9.0,165,811,314,15.9,0.3,20.6,3,330,2,168,2,0,3,0,19,20
269670,444.0,20.1,6.0,23,780,276,50.5,3.2,14.7,5,418,3,259,3,0,8,0,35,122
220186,269.0,10,4.0,20,546,141,30.7,1.5,12.7,3,626,12,13,2,0,0,0,10,12
172077,300.0,21.3,9.0,173,729,157,12.4,0,13.7,3,410,9,90,2,0,3,0,12,21
217920,323.0,16.3,9.0,54,512,100,27,1.1,18.4,2,498,1,192,1,0,4,0,12,8
18875,703.0,30,12.0,70,1646,397,75.8,3.4,30.5,5,538,8,488,5,1,11,0,50,178
279779,237.0,20.8,5.0,20,563,50,5.9,1.3,7,2,389,5,174,1,0,2,0,8,4
218228,404.0,24.5,9.0,221,1057,265,26.2,0.6,19.5,5,470,4,195,3,0,7,0,26,61
74437,251.0,12.5,6.0,25,495,153,22.3,2.7,12.7,3,361,24,229,2,0,2,0,32,37
256144,220.0,11.8,5.0,150,501,118,14.3,1.3,13.4,2,254,6,177,2,0,4,0,16,46
25189,411.0,18.3,9.0,58,517,186,43,1.7,17.8,3,402,0,174,3,0,9,0,27,118
256637,580.0,22.3,9.0,62,1319,133,58.2,4.7,33.1,7,276,0,442,5,0,7,0,20,108
129557,266.0,15.7,7.0,26,475,146,19.6,1.1,11.7,3,777,4,175,2,0,2,0,18,9
275276,443.0,23.9,9.0,52,832,418,33.1,2.5,24.9,4,1617,23,471,3,0,5,0,47,64
80800,719.0,36.6,16.0,88,1832,469,56.7,3.6,40.3,4,1380,7,1089,5,1,13,0,64,162
81172,630.0,17.9,7.0,22,736,502,100.8,8.3,18,22,480,3,174,7,1,10,0,58,222
109545,461.0,29,8.0,36,894,238,39.3,2.4,14.1,3,1233,13,150,1,0,2,0,22,32
91769,202.0,7.1,3.0,24,414,112,23.7,1.1,9.9,3,598,4,59,2,0,2,0,9,8
258868,355.0,10.7,4.0,33,625,119,53.4,4.1,12.8,30,216,22,107,1,0,1,0,8,6
82487,798.0,38,12.0,66,1011,668,82.4,10.1,38.9,4,696,19,232,1,0,8,0,49,94
220264,332.0,16.2,5.0,28,761,225,33.6,2.8,16.4,3,453,2,154,1,0,4,0,16,16
245260,873.0,62.9,18.0,426,1135,1055,43.5,9.5,36.8,5,2080,20,442,5,1,13,1,89,218
278290,224.0,10,1.0,0,192,501,28.9,6.1,7.2,2,5386,14,58,3,0,4,0,97,152
230651,475.0,3,1.0,0.5,890,807,94.2,13.8,19.9,9,3381,23,99,6,0,9,0,86,222
21051,273.0,13.1,5.0,35,570,508,26.3,4.3,13,5,5141,11,71,3,0,6,0,43,71
164049,303.0,19.4,6.0,40,1688,449,15,4.3,16.4,3,1179,5,61,2,0,5,0,24,76
232274,174.0,2.3,0.0,2,1167,626,31.6,5,7,9,4575,36,90,4,0,3,0,41,101
15799,174.0,3.1,0.0,0,409,221,29,6.2,8,3,1119,40,49,2,0,2,0,17,55
261505,413.0,14.7,5.0,46,1400,503,48.8,3.7,22.3,6,6956,9,116,3,0,8,0,60,158
237050,379.0,9,1.0,0,1720,917,65.4,10.6,13.5,7,18582,107,239,8,0,2,0,90,61
262023,266.0,10.3,2.0,75,1813,278,22.2,1.4,18.1,4,3807,10,72,2,0,6,0,31,59
232067,483.0,20,8.0,91,1829,425,48.8,3.7,27.5,2,576,6,63,3,0,7,0,29,31
25756,306.0,14.8,2.0,0,217,343,36.3,3,9.2,2,467,67,35,2,0,1,0,419,47
